order,id,date,time,title,url,visitCount,typedCount,transition
0,53170,6/15/2025,18:32:18,MIA (feat. Drake) - YouTube Music,https://music.youtube.com/watch?v=Pw_Zemf6Wjs,1,0,link
1,53169,6/15/2025,18:32:01,YouTube Music,https://music.youtube.com/watch?v=OSUxrSe5GbI,2,0,link
2,53169,6/15/2025,18:32:01,YouTube Music,https://music.youtube.com/watch?v=OSUxrSe5GbI,2,0,link
3,72,6/15/2025,18:26:08,YouTube Music,https://music.youtube.com/,477,3,link
4,3367,6/15/2025,18:26:04,YouTube Music,https://music.youtube.com/explore,3,0,link
5,72,6/15/2025,18:26:04,YouTube Music,https://music.youtube.com/,477,3,link
6,72,6/15/2025,18:25:55,YouTube Music,https://music.youtube.com/,477,3,link
7,3367,6/15/2025,18:25:54,YouTube Music,https://music.youtube.com/explore,3,0,link
8,51545,6/15/2025,18:25:51,YouTube Music,https://music.youtube.com/search?q=en+su+nota,3,0,link
9,72,6/15/2025,18:25:51,YouTube Music,https://music.youtube.com/,477,3,link
10,53153,6/15/2025,18:07:06,redpanda - Google Search,https://www.google.com/search?q=redpanda&oq=redpanda&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIMCAEQLhhDGIAEGIoFMgwIAhAjGCcYgAQYigUyBggDECMYJzIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIGCAcQRRg80gEIMjIxNmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,1,0,generated
11,72,6/15/2025,18:01:42,YouTube Music,https://music.youtube.com/,477,3,link
12,53152,6/15/2025,18:00:37,YouTube Music,https://music.youtube.com/watch?v=uCD2vPqni2Y&list=RDAMVM6mr9dlaM0p4,1,0,link
13,53151,6/15/2025,17:56:44,Cross Me (feat. Lil Baby & Plies) - YouTube Music,https://music.youtube.com/watch?v=e32B-ObQEYU&list=RDAMVM6mr9dlaM0p4,1,0,link
14,53150,6/15/2025,17:56:35,Export Chrome History - Chrome Web Store,https://chromewebstore.google.com/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj?hl=en,1,0,link
15,53149,6/15/2025,17:56:33,download browser history chrome - Google Search,https://www.google.com/search?q=download+browser+history+chrome&oq=download+browser+history+chrome&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORiABDINCAEQABiGAxiABBiKBTINCAIQABiGAxiABBiKBTINCAMQABiGAxiABBiKBTINCAQQABiGAxiABBiKBTIHCAUQABjvBTIKCAYQABiABBiiBNIBCDU2NzhqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8,1,0,generated
40,53148,6/15/2025,17:56:21,Google - My Activity,https://myactivity.google.com/myactivity?utm_source=chrome_h,1,0,link
41,53146,6/15/2025,17:53:03,20 Min - YouTube Music,https://music.youtube.com/watch?v=rj9sZsKE7-g&list=RDAMVM6mr9dlaM0p4,1,0,link
42,53145,6/15/2025,17:50:33,La Plena (W Sound 05) - YouTube Music,https://music.youtube.com/watch?v=SEY1UKEmOrQ&list=RDAMVM6mr9dlaM0p4,1,0,link
43,53144,6/15/2025,17:46:34,Costear - YouTube Music,https://music.youtube.com/watch?v=1ifae8XiiUA&list=RDAMVM6mr9dlaM0p4,1,0,link
44,53143,6/15/2025,17:45:44,Nicky jam (@nickyjam) • Світлини та відео в Instagram,https://www.instagram.com/juanavaronn/,1,0,link
45,53142,6/15/2025,17:45:27,Nicky jam (@nickyjam) • Світлини та відео в Instagram,https://www.instagram.com/p/DG0tZ8EJejQ/,1,0,link
46,53027,6/15/2025,17:45:09,Nicky jam (@nickyjam) • Світлини та відео в Instagram,https://www.instagram.com/nickyjam/?g=5,2,0,link
47,53141,6/15/2025,17:45:04,Nicky jam (@nickyjam) • Світлини та відео в Instagram,https://www.instagram.com/p/DI8hvy_uGiT/,1,0,link
